GM에드온[3.3.5a 아제로스코어] v2.8 GM 커맨드 재검증 목록

사용자 제공 command SQL: 740개
애드온 command 버튼: 188개
명령명 미매칭: 0개
보안 레벨 분포: Lv0=8, Lv1=27, Lv2=111, Lv3=39, Lv4=3

형식: [카테고리] 버튼명 | 실행문 | SQL 매칭명 | Security | 공식 도움말
------------------------------------------------------------------------------------------------------------------------
[GM메뉴] 대상 즉시 처치 | .die | die | 2 | Syntax: .die Kill the selected player. If no player is selected, it will kill you.
[GM메뉴] 부활 | .revive | revive | 2 | Syntax: .revive Revive the selected player. If no player is selected, it will revive you.
[GM메뉴] 선택 대상 100골드 | .modify money 1000000 | modify money | 2 | Syntax: .modify money #money .money #money Add or remove money to the selected player. If no player is selected, modify your money. #gold can be negative to remove money.
[GM메뉴] 선택 대상 레벨 +1 | .levelup 1 | levelup | 2 | Syntax: .levelup [$playername] [#numberoflevels] Increase/decrease the level of character with $playername (or the selected if not name provided) by #numberoflevels Or +1 if no #numberoflevels provided). If #numberofleve
[GM메뉴] 선택 대상 레벨 -1 | .levelup -1 | levelup | 2 | Syntax: .levelup [$playername] [#numberoflevels] Increase/decrease the level of character with $playername (or the selected if not name provided) by #numberoflevels Or +1 if no #numberoflevels provided). If #numberofleve
[GM메뉴] 내 직업 주문 전체 | .learn all my class | learn all my class | 2 | Syntax: .learn all my class Learn all spells (trainer, talent, and quest rewards) for your class.
[GM메뉴] 내 트레이너 주문 전체 | .learn all my trainer | learn all my trainer | 2 | Syntax: .learn all my trainer Learn all spells taught by trainers for your class.
[GM메뉴] 숙련도 최대 | .maxskill | maxskill | 2 | Syntax: .maxskill Sets all skills of the targeted player to their maximum values for its current level.
[GM메뉴] 비행 경로 전체 해제 | .cheat taxi on | cheat taxi | 2 | Syntax: .cheat taxi on/off Temporary grant access to all taxi routes for the selected character. If no character is selected, hide or reveal all routes to you. Visited taxi nodes are still accessible after removing acces
[GM메뉴] GPS | .gps | gps | 1 | Syntax: .gps [$name|$shift-link] Display the position information for a selected character or creature (also if player name $name provided then for named player, or if creature/gameobject shift-link provided then pointed
[GM] 계정 정보 | .account | account | 0 | Syntax: .account Display the access level of your account and the email adress if you possess the necessary permissions.
[GM] 온라인 계정 목록 | .account onlinelist | account onlinelist | 4 | Syntax: .account onlinelist Show list of online accounts.
[GM] 접속 중 GM | .gm ingame | gm ingame | 0 | Syntax: .gm ingame Display a list of available in game Game Masters.
[GM] GM 계정 목록 | .gm list | gm list | 3 | Syntax: .gm list Display a list of all Game Masters accounts and security levels.
[GM] GM 채팅 켜기 | .gm chat on | gm chat | 2 | Syntax: .gm chat [on/off] Enable or disable chat GM MODE (show gm badge in messages) or show current state of on/off not provided.
[GM] GM 채팅 끄기 | .gm chat off | gm chat | 2 | Syntax: .gm chat [on/off] Enable or disable chat GM MODE (show gm badge in messages) or show current state of on/off not provided.
[GM] 관전 모드 켜기 | .gm spectator on | gm spectator | 2 | Syntax: .gm spectator on|off Requires .gm on. Allows the GM character to follow members of the opposite faction. You may need to change zones for the effect to apply.
[GM] 관전 모드 끄기 | .gm spectator off | gm spectator | 2 | Syntax: .gm spectator on|off Requires .gm on. Allows the GM character to follow members of the opposite faction. You may need to change zones for the effect to apply.
[GM] 귓속말 받기 | .whispers on | whispers | 1 | Syntax: .whispers on|off Enable/disable accepting whispers by GM from players. By default use trinityd.conf setting.
[GM] 귓속말 차단 | .whispers off | whispers | 1 | Syntax: .whispers on|off Enable/disable accepting whispers by GM from players. By default use trinityd.conf setting.
[GM] GM 전체 알림 | .gmnotify {args} | gmnotify | 2 | Syntax: .gmnotify $notification Displays a notification on the screen of all online GM's.
[GM] 계정 생성 | .account create {args} | account create | 4 | Syntax: .account create $account $password $email Create account and set password to it. $email is optional, can be left blank.
[GM] 계정 삭제 | .account delete {args} | account delete | 4 | Syntax: .account delete $account Delete account with all characters.
[GM] 현재 계정 IP 잠금 | .account lock ip on | account lock ip | 0 | Syntax: .account lock ip [on|off] Allow login from account only from current used IP or remove this requirement.
[GM] 현재 계정 IP 잠금 해제 | .account lock ip off | account lock ip | 0 | Syntax: .account lock ip [on|off] Allow login from account only from current used IP or remove this requirement.
[GM] 확장팩 권한 설정 | .account set addon {args} | account set addon | 2 | Syntax: .account set addon [$account] #addon Set user (possible targeted) expansion addon level allowed. Addon values: 0 - normal, 1 - tbc, 2 - wotlk.
[GM] GM 레벨 설정 | .account set gmlevel {args} | account set gmlevel | 3 | Syntax: .account set gmlevel [$account] #level [#realmid] Set the security level for targeted player (can't be used at self) or for account $name to a level of #level on the realm #realmID. #level may range from 0 to 3. 
[GM] 비밀번호 설정 | .account set password {args} | account set password | 3 | Syntax: .account set password $account $password $password Set password for account.
[GM] 캐릭터 계정 이동 | .character changeaccount {args} | character changeaccount | 3 | Syntax: .character changeaccount $NewAccountName $Name. Moves the specified character to the provided account. Kicks the player if the character is online.
[캐릭터] 플레이어 정보 | .pinfo | pinfo | 2 | Syntax: .pinfo [$player_name/#GUID] Output account information and guild information for selected player or player find by $player_name or #GUID.
[캐릭터] GUID 표시 | .guid | guid | 2 | Syntax: .guid Display the GUID for the selected character.
[캐릭터] 거리 확인 | .distance | distance | 3 | Syntax: .distance Display the distance from your character to the selected creature.
[캐릭터] GPS | .gps | gps | 1 | Syntax: .gps [$name|$shift-link] Display the position information for a selected character or creature (also if player name $name provided then for named player, or if creature/gameobject shift-link provided then pointed
[캐릭터] 저장 | .save | save | 0 | Syntax: .save Saves your character.
[캐릭터] 리콜 | .recall | recall | 2 | Syntax: .recall [$playername] Teleport $playername or selected player to the place where he has been before last use of a teleportation command. If no $playername is entered and no player is selected, it will teleport yo
[캐릭터] 추방 | .kick | kick | 2 | Syntax: .kick [$charactername] [$reason] Kick the given character name from the world with or without reason. If no character name is provided then the selected player (except for yourself) will be kicked. If no reason i
[캐릭터] 쿨다운 초기화 | .cooldown | cooldown | 2 | Syntax: .cooldown [#spell_id] Remove all (if spell_id not provided) or #spel_id spell cooldown from selected character or you (if no selection).
[캐릭터] 전투 중지 | .combatstop | combatstop | 2 | Syntax: .combatstop [$playername] Stop combat for selected character. If selected non-player then command applied to self. If $playername provided then attempt applied to online player $playername.
[캐릭터] 부활 | .revive | revive | 2 | Syntax: .revive Revive the selected player. If no player is selected, it will revive you.
[캐릭터] 메일함 열기 | .mailbox | mailbox | 1 | Syntax: .mailbox Show your mailbox content.
[캐릭터] 탈것 내리기 | .dismount | dismount | 0 | Syntax: .dismount Dismount you, if you are mounted.
[캐릭터] 동결 | .freeze | freeze | 2 | Syntax: .freeze (#player) "Freezes" #player and disables his chat. When using this without #name it will freeze your target.
[캐릭터] 동결 해제 | .unfreeze | unfreeze | 2 | Syntax: .unfreeze (#player) "Unfreezes" #player and enables his chat again. When using this without #name it will unfreeze your target.
[캐릭터] 이름 변경 요구 | .character rename | character rename | 2 | Syntax: .character rename [$name] [reserveName] [$newName] Mark selected in game or by $name in command character for rename at next login. If [reserveName] is 1 then the player's current name is added to the list of res
[캐릭터] 외형 변경 요구 | .character customize | character customize | 2 | Syntax: .character customize [$name] Mark selected in game or by $name in command character for customize at next login.
[캐릭터] 종족 변경 요구 | .character changerace | character changerace | 2 | Syntax: .character changerace $name Change character race.
[캐릭터] 진영 변경 요구 | .character changefaction | character changefaction | 2 | Syntax: .character changefaction $name Change character faction.
[캐릭터] 삭제 캐릭터 목록 | .character deleted list | character deleted list | 3 | Syntax: .character deleted list [#guid|$name] Shows a list with all deleted characters. If $name is supplied, only characters with that string in their name will be selected, if #guid is supplied, only the character with
[캐릭터] 삭제 캐릭터 복구 | .character deleted restore {args} | character deleted restore | 3 | Syntax: .character deleted restore #guid|$name [$newname] [#new account] Restores deleted characters. If $name is supplied, only characters with that string in their name will be restored, if $guid is supplied, only the 
[캐릭터] 가방 검사 | .character check bag {args} | character check bag | 2 | Syntax: .character check bag [$target_player] #bagSlot 1 - 4
[캐릭터] 은행 검사 | .character check bank | character check bank | 2 | Syntax: .character check bank Show your bank inventory.
[캐릭터] 전문기술 검사 | .character check profession | character check profession | 2 | Syntax: .character check profession [$target_player] Show known professions list for selected player
[캐릭터] 레벨 변경 | .levelup {args} | levelup | 2 | Syntax: .levelup [$playername] [#numberoflevels] Increase/decrease the level of character with $playername (or the selected if not name provided) by #numberoflevels Or +1 if no #numberoflevels provided). If #numberofleve
[캐릭터] 돈 변경 | .modify money {args} | modify money | 2 | Syntax: .modify money #money .money #money Add or remove money to the selected player. If no player is selected, modify your money. #gold can be negative to remove money.
[캐릭터] 생명력 변경 | .modify hp {args} | modify hp | 2 | Syntax: .modify hp #newhp Modify the hp of the selected player. If no player is selected, modify your hp.
[캐릭터] 마나 변경 | .modify mana {args} | modify mana | 2 | Syntax: .modify mana #newmana Modify the mana of the selected player. If no player is selected, modify your mana.
[캐릭터] 기력 변경 | .modify energy {args} | modify energy | 2 | Syntax: .modify energy #energy Modify the energy of the selected player. If no player is selected, modify your energy.
[캐릭터] 분노 변경 | .modify rage {args} | modify rage | 2 | Syntax: .modify rage #newrage Modify the rage of the selected player. If no player is selected, modify your rage.
[캐릭터] 룬마력 변경 | .modify runicpower {args} | modify runicpower | 2 | Syntax: .modify runicpower #newrunicpower Modify the runic power of the selected player. If no player is selected, modify your runic power.
[캐릭터] 명예 변경 | .modify honor {args} | modify honor | 2 | Syntax: .modify honor $amount Add $amount honor points to the selected player.
[캐릭터] 투기장 점수 | .modify arenapoints {args} | modify arenapoints | 2 | Syntax: .modify arenapoints #value Add $amount arena points to the selected player.
[캐릭터] 취기 변경 | .modify drunk {args} | modify drunk | 2 | Syntax: .modify drunk #value Set drunk level to #value (0..100). Value 0 remove drunk state, 100 is max drunked state.
[캐릭터] 크기 변경 | .modify scale {args} | modify scale | 2 | .modify scale #scale Modify size of the selected player or creature to "normal scale"*rate. If no player or creature is selected, modify your size. #rate may range from 0.1 to 10.
[캐릭터] 성별 남성 | .modify gender male | modify gender | 2 | Syntax: .modify gender male/female Change gender of selected player.
[캐릭터] 성별 여성 | .modify gender female | modify gender | 2 | Syntax: .modify gender male/female Change gender of selected player.
[캐릭터] 모델 변경 | .morph target {args} | morph target | 1 | Syntax: .morph target #displayid - Change the selected target's current model id to #displayid.
[캐릭터] 모델 초기화 | .morph reset | morph reset | 1 | Syntax: .morph reset - Doesn't use any parameters to reset the selected target's model
[캐릭터] 속도 전체 변경 | .modify speed all {args} | modify speed all | 2 | Syntax: .modify aspeed #rate Modify all speeds -run,swim,run back,swim back- of the selected player to "normalbase speed for this move type"*rate. If no player is selected, modify your speed. #rate may range from 0.1 to 
[캐릭터] 페이즈 변경 | .modify phase {args} | modify phase | 2 | Syntax: .modify phase #phasemask Selected character phasemask changed to #phasemask with related world vision update. Change active until in game phase changed, or GM-mode enable/disable, or re-login. Character pts pasem
[캐릭터] 오라 추가 | .aura {args} | aura | 2 | Syntax: .aura #spellid Add the aura from spell #spellid to the selected Unit.
[캐릭터] 오라 제거 | .unaura {args} | unaura | 2 | Syntax: .unaura #spellid Remove aura due to spell #spellid from the selected Unit.
[캐릭터] 주문 습득 | .player learn {args} | player learn | 2 | Syntax: .player learn #playername #spell [all].
[캐릭터] 주문 삭제 | .player unlearn {args} | player unlearn | 2 | Syntax: .player unlearn #playername #spell [all].
[크리쳐] NPC 정보 | .npc info | npc info | 2 | Syntax: .npc info [#creature_guid] Display a list of details for the selected creature, or for the creature with the given GUID if no target is selected. When a creature is targeted or found in the current map, the list 
[크리쳐] NPC GUID | .npc guid | npc guid | 2 | Syntax: .npc guid Displays GUID, faction, NPC flags, Entry ID, Model ID for selected creature.
[크리쳐] NPC 근처 검색 | .npc near {args} | npc near | 2 | Syntax: .npc near #distance Returns all database creature spawns in a given distance.
[크리쳐] 거리 확인 | .distance | distance | 3 | Syntax: .distance Display the distance from your character to the selected creature.
[크리쳐] NPC 생성 | .npc add {args} | npc add | 3 | Syntax: .npc add #creatureid Spawn a creature by the given template id of #creatureid.
[크리쳐] NPC 삭제 | .npc delete | npc delete | 3 | Syntax: .npc delete [#guid] Delete creature with guid #guid (or the selected if no guid is provided)
[크리쳐] NPC 현재 위치로 이동 | .npc move | npc move | 2 | Syntax: .npc move [#creature_guid] Move the targeted creature spawn point to your coordinates.
[크리쳐] NPC 모델 변경 | .npc set model {args} | npc set model | 3 | Syntax: .npc set model #displayid Change the model id of the selected creature to #displayid.
[크리쳐] NPC 레벨 변경 | .npc set level {args} | npc set level | 3 | Syntax: .npc set level #level Change the level of the selected creature to #level. #level may range from 1 to (CONFIG_MAX_PLAYER_LEVEL) + 3.
[크리쳐] NPC 페이즈 변경 | .npc set phase {args} | npc set phase | 3 | Syntax: .npc set phase #phasemask Selected unit or pet phasemask changed to #phasemask with related world vision update for players. In creature case state saved to DB and persistent. In pet case change active until in g
